URL,ISBN,Goodreads ID,Title,"Author(s)/Illustrators/Other Contributors (Editors, Translators, Sources, etc.)",Categorization,Subject(s),Gender,Career Type/Known For
https://z2comics.com/products/freddie-mercury-shadows-illuminated-standard-edition-hardcover/,9781940878867,58326588-freddie-mercury,Freddie Mercury: Shadows Illuminated,"Tres Dean, Kyla Aiko, Robin Richardson, Safiya Zerrougui, Tammy Wang, Ames Liu, Camilla Zhang",Biography,Freddie Mercury,Male,Musician
https://z2comics.com/products/miles-davis-and-the-search-for-the-sound-standard-hardcover?_pos=2&_sid=5a01b7b81&_ss=r,9798886560428,61919434-miles-davis-and-the-search-for-the-sound,Miles Davis and the Search for the Sound,Dave Chisholm,Biography,Miles Davis,Male,Musician
https://z2comics.com/products/growing-up-farley-a-chris-farley-story-standard-edition-hardcover/,9798886560381,63234758-growing-up-farley-a-chris-farley-story,Growing Up Farley: A Chris Farley Story,Kevin Farley,Family Biography,"Chris Farley, Kevin Farley",Male,Comedians
https://permutedpress.com/book/clayton-godfather-of-lower-east-side-documentary%E2%80%95a-graphic-novel,9781682618981,49930973-clayton,Clayton: Godfather of Lower East Side Documentary,"Julian Voloj, Eddy Portnoy",Biography,Clayton Patterson,Male,Photographer
https://www.simonandschuster.ca/books/The-Beatles-Story/Arthur-Ranson/9781781086179,9781781086179,35297626-the-beatles-story,The Beatles Story,"Arthur Ranson, Angus Allan",Collective Biography,The Beatles,Male,Musicians
https://www.simonandschuster.ca/books/All-The-Answers/Michael-Kupperman/9781501166433,9781501166433,36373423-all-the-answers,All The Answers,Michael Kupperman,Family Biography,Joel Kupperman,Male,Game Show Contestant
https://www.simonandschuster.ca/books/Bix/Scott-Chantler/9781501190780,9781501190780,50804759-bix,Bix,Scott Chantler,Biography,Leon Bix Beiderbecke,Male,Musician
https://sourcepointpress.com/products/butts-in-seats-the-tony-schiavone-story?_pos=1&_sid=8093c9da1&_ss=r,9781954412323,58853250-butts-in-seats,Butts In Seats: The Tony Schiavone Story,"Dirk Manning, Tony Schiavone",Collaborative Autobio,Tony Schiavone,Male,Professional Wrestling Announcer
https://www.davidzwirnerbooks.com/product/the-five-lives-of-hilma-af-klint,9781644230695,58532656-the-five-lives-of-hilma-af-klint,The Five Lives of Hilma af Klint,"Philipp Deines, Julia Voss",Biography,Hilma af Klint,Female,Artist
https://insighteditions.com/products/the-invisible-empire,9781683834472,42202080-the-invisible-empire,The Invisible Empire: Madge Oberholtzer And The Unmasking Of The Ku Klux Klan,"Micky Neilson, Todd Warger, Marc Borstel",Biography,Madge Oberholtzer,Female,Activist
https://insighteditions.com/products/bowie,9781683834489,49494921-bowie,"BOWIE: Stardust, Rayguns, & Moonage Daydreams","Michael Allred, Steve Horton, Laura Allred",Biography,David Bowie,Male,Musician
http://pegasusbooks.com/books/renoir-9781643131962-hardcover,9781643131962,43811247-renoir,Renoir: Father and Son,Eddy Simon,Collective Biography,Renoir Family,Male,"Artist, Filmmaker"
http://pegasusbooks.com/books/goya-9781643130163-hardcover,9781643130163,40554540-goya,Goya: The Terrible Sublime,"El Torres, Fran Galan",Biography,Francisco de Goya,Male,Artist
http://pegasusbooks.com/books/h-p-lovecraft-9781681778556-hardcover,9781681778556,38471793-h-p-lovecraft,H.P. Lovecraft: He Who Wrote in the Darkness: A Graphic Novel,Alex Nikolavitch,Biography,H.P. Lovecraft,Male,Author
http://pegasusbooks.com/books/pocahontas-9781681772172-hardcover,9781681772172,28943758-pocahontas,Pocahontas: Princess of the New World,"Loïc Locatelli-Kournwsky, Sandra Smith",Biography,Pocahontas,Female,…princess? Diplomat?
https://jwb.bookstore.ipgbook.com/baddawi-products-9781935982494.php,9781935982494,25327517-baddawi,Baddawi,Leila Abdelrazaq,Family Biography,Ahmed Abdelrazaq,Male,
https://www.versobooks.com/en-ca/products/2535-toussaint-louverture,9781788737906,125078769-toussaint-louverture,Toussaint Louverture: The Story of the Only Successful Slave Revolt in History,"C. L. R. James, Nic Watts, Sakima Karimjee",Biography,Toussaint Louverture,Male,Revolutionary
https://www.versobooks.com/en-ca/products/2319-masks-of-anarchy?_pos=1&_psq=masks+of+anarchy&_ss=e&_v=1.0,9781781680988,16284969-masks-of-anarchy,"Masks Of Anarchy: The History Of A Radical Poem, From Percy Shelley To The Triangle Factory Fire","Michael Demson, Summer McClinton",Collective Biography,Percy Bysse Shelley; Pauline Newman,Mixed,Poet; Labour Organizer
